0.00.093.970 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.094.026 I srv          init: The UI is disabled
0.00.094.026 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.094.102 W srv  llama_server: -----------------
0.00.094.103 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.094.103 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.094.104 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.094.104 W srv  llama_server: -----------------
0.00.105.451 I srv    load_model: loading model 'C:\Users\slb\.ollama\models\blobs\sha256-ba0c5dee3026dccf7126b90f1fbb10f2916d540aad470eb0c03da68734dbe10a'
0.00.894.580 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.894.594 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.894.614 W model has unused tensor blk.64.attn_q.weight (size = 35389440 bytes) -- ignoring
0.00.894.622 W model has unused tensor blk.64.attn_k.weight (size = 2949120 bytes) -- ignoring
0.00.894.629 W model has unused tensor blk.64.attn_v.weight (size = 2949120 bytes) -- ignoring
0.00.894.655 W model has unused tensor blk.64.attn_output.weight (size = 17694720 bytes) -- ignoring
0.00.894.662 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.894.670 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.894.677 W model has unused tensor blk.64.ffn_gate.weight (size = 50135040 bytes) -- ignoring
0.00.894.684 W model has unused tensor blk.64.ffn_down.weight (size = 50135040 bytes) -- ignoring
0.00.894.691 W model has unused tensor blk.64.ffn_up.weight (size = 50135040 bytes) -- ignoring
0.00.894.700 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 29491200 bytes) -- ignoring
0.00.894.708 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.894.716 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.894.738 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.06.258.624 I cmn          init: llama threadpool init, n_threads = 8
0.06.399.641 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 24576, kv_unified = 'false'
0.06.404.364 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.404.384 I srv  llama_server: model loaded
0.06.404.386 I srv  llama_server: listening on http://127.0.0.1:18080
0.06.612.518 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.06.612.590 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.09.845.983 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5664, progress = 0.25, t =   3.23 s / 1751.74 tokens per second
0.10.139.906 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6176, progress = 0.27, t =   3.53 s / 1750.92 tokens per second
0.10.451.382 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6688, progress = 0.29, t =   3.84 s / 1742.23 tokens per second
0.10.733.350 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7200, progress = 0.31, t =   4.12 s / 1747.26 tokens per second
0.11.018.082 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7712, progress = 0.34, t =   4.41 s / 1750.56 tokens per second
0.11.301.981 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8224, progress = 0.36, t =   4.69 s / 1753.76 tokens per second
0.11.611.878 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8736, progress = 0.38, t =   5.00 s / 1747.46 tokens per second
0.11.906.778 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9248, progress = 0.40, t =   5.29 s / 1746.83 tokens per second
0.12.187.024 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9760, progress = 0.43, t =   5.57 s / 1750.86 tokens per second
0.12.478.752 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10272, progress = 0.45, t =   5.87 s / 1751.07 tokens per second
0.12.758.381 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10784, progress = 0.47, t =   6.15 s / 1754.71 tokens per second
0.13.052.484 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  11296, progress = 0.49, t =   6.44 s / 1754.07 tokens per second
0.13.345.976 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  11808, progress = 0.52, t =   6.73 s / 1753.66 tokens per second
0.13.638.649 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12320, progress = 0.54, t =   7.03 s / 1753.48 tokens per second
0.13.918.220 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12832, progress = 0.56, t =   7.31 s / 1756.46 tokens per second
0.14.224.443 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  13344, progress = 0.58, t =   7.61 s / 1753.06 tokens per second
0.14.537.881 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  13856, progress = 0.61, t =   7.93 s / 1748.33 tokens per second
0.14.864.068 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14368, progress = 0.63, t =   8.25 s / 1741.27 tokens per second
0.15.174.741 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14880, progress = 0.65, t =   8.56 s / 1737.89 tokens per second
0.15.482.541 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  15392, progress = 0.67, t =   8.87 s / 1735.30 tokens per second
0.15.776.534 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  15904, progress = 0.69, t =   9.16 s / 1735.50 tokens per second
0.16.070.195 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16416, progress = 0.72, t =   9.46 s / 1735.75 tokens per second
0.16.380.154 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16928, progress = 0.74, t =   9.77 s / 1733.09 tokens per second
0.16.675.136 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  17440, progress = 0.76, t =  10.06 s / 1733.16 tokens per second
0.16.983.126 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  17952, progress = 0.78, t =  10.37 s / 1731.06 tokens per second
0.17.292.402 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18464, progress = 0.81, t =  10.68 s / 1728.87 tokens per second
0.17.601.274 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18976, progress = 0.83, t =  10.99 s / 1726.87 tokens per second
0.17.894.997 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  19488, progress = 0.85, t =  11.28 s / 1727.30 tokens per second
0.18.203.738 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20000, progress = 0.87, t =  11.59 s / 1725.46 tokens per second
0.18.527.685 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20512, progress = 0.90, t =  11.92 s / 1721.53 tokens per second
0.18.865.671 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  21024, progress = 0.92, t =  12.25 s / 1715.82 tokens per second
0.19.190.764 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  21536, progress = 0.94, t =  12.58 s / 1712.18 tokens per second
0.19.500.675 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22048, progress = 0.96, t =  12.89 s / 1710.73 tokens per second
0.19.780.735 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22385, progress = 0.98, t =  13.17 s / 1699.94 tokens per second
0.20.073.583 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22893, progress = 1.00, t =  13.46 s / 1700.70 tokens per second
0.20.424.452 I slot print_timing: id  0 | task 0 | prompt eval time =   13685.72 ms / 22897 tokens (    0.60 ms per token,  1673.06 tokens per second)
0.20.424.460 I slot print_timing: id  0 | task 0 |        eval time =     126.13 ms /     6 tokens (   25.23 ms per token,    39.64 tokens per second)
0.20.424.461 I slot print_timing: id  0 | task 0 |       total time =   13811.84 ms / 22903 tokens
0.20.424.462 I slot print_timing: id  0 | task 0 |    graphs reused =          4
0.20.424.940 I slot      release: id  0 | task 0 | stop processing: n_tokens = 22902, truncated = 0
