date,account,entry,description,amount,status
2026-08-04,K-7,INV-2088,invoice 2088 Harborne Marine,264.00,
2026-08-07,M-2,INV-2090,invoice 2090 Tunnel Marine,121.60,
2026-08-11,K-9,CN-2092,credit note 2092 damaged stock,-12.40,
2026-08-13,K-7,INV-2093,invoice 2093 Avon Wharf Ltd,180.00,REVERSED
2026-08-13,K-7,REV-2093,reversal of invoice 2093,-180.00,REVERSAL
2026-08-18,M-5,INV-2097,invoice 2097 Cutler and Co,205.10,
2026-08-20,S-1,INV-2099,invoice 2099 Bridge Street Chandlery,142.35,
2026-08-25,K-7,CN-2101,credit note 2101 pricing error,-52.75,
2026-08-27,M-2,INV-2104,invoice 2104 Dry Dock Diner,88.00,
2026-08-31,K-9,PM-2108,payment run 2108,-64.00,
